FID,STRASSENNA,Shape_Leng,d_RADWEGAR,START_X,START_Y,END_X,END_Y
10315,Balanstraße,4.186617698,Getrennter Rad- und Gehweg,693950.8633,5331199.558,693950.3614,5331195.477
10316,Balanstraße,10.4117266,Übergang,694002.1756,5330983.399,694003.9616,5330973.142
10317,Balanstraße,10.92800679,Übergang,693988.246,5330986.434,693990.2892,5330975.699
10318,Balanstraße,148.4703236,Getrennter Rad- und Gehweg,694003.9616,5330973.142,694044.2771,5330830.251
10319,Pfanzeltplatz,69.08003126,Getrennter Rad- und Gehweg,695816.8218,5330823.2,695819.0621,5330754.69
10320,Albert-Schweitzer-Straße,8.062565504,Übergang,696981.9178,5331550.237,696981.9503,5331542.175
10321,Ostpreußenstraße,7.260056167,Übergang,696430.0987,5336696.043,696430.4342,5336703.295
10322,Ostpreußenstraße,5.934487312,Übergang,696430.4342,5336703.295,696430.502,5336709.229
10323,Ostpreußenstraße,6.556268146,Übergang,696440.1075,5336912.545,696440.8384,5336919.06
10324,Fasangartenstraße,5.57663428,Übergang,694209.6702,5329451.744,694204.2947,5329450.26
10325,Baubergerstraße,395.7366531,Getrennter Rad- und Gehweg,686281.6468,5338995.08,686042.1718,5338683.352
10326,Baubergerstraße,390.3247175,Getrennter Rad- und Gehweg,686271.0258,5338998.648,686035.0433,5338690.912
10327,Baubergerstraße,1.363577431,Getrennter Rad- und Gehweg,686306.8678,5339018.325,686306.6024,5339016.987
10328,Dachauer Straße,215.0273406,Getrennter Rad- und Gehweg,686872.9093,5339346.296,686706.0807,5339479.691
10329,Heidemannstraße,15.28495673,Übergang,694669.0274,5341558.157,694680.3723,5341547.914
10330,Feldmochinger Straße,25.14180968,Getrennter Rad- und Gehweg,687602.1967,5341211.761,687627.0227,5341215.222
10331,Feldmochinger Straße,194.3331551,Getrennter Rad- und Gehweg,687515.9444,5341107.419,687597.5329,5341256.362
10332,Nederlinger Straße,105.213062,Getrennter Rad- und Gehweg,687243.5084,5337828.574,687181.1997,5337913.237
10333,Ständlerstraße,3.843717201,Getrennter Rad- und Gehweg,693918.7166,5331215.892,693921.6502,5331218.19
10334,Westendstraße,10.15929374,Getrennter Rad- und Gehweg,687684.9004,5334339.241,687679.2424,5334330.877
10335,Zschokkestraße,15.00765808,Übergang,687696.9631,5334323.942,687687.0981,5334335.252
10336,Agnes-Bernauer-Straße,12.97484909,Übergang,686223.4453,5334845.742,686210.562,5334844.204
10337,Hofbrunnstraße,6.137627735,Übergang,687252.9876,5328773.313,687247.6459,5328776.336
10338,Candidstraße,61.31133274,Gemeinsamer Geh- und Radweg,690660.5242,5332028.313,690600.7949,5332014.475
10339,Candidstraße,305.9089616,Gemeinsamer Geh- und Radweg,690908.2952,5332014.372,690610.1294,5331985.638
10340,Herthastraße,4.050197551,Getrennter Rad- und Gehweg,686204.8748,5335934.753,686200.8326,5335935.007
10341,Margarethe-Danzi-Straße,7.499065779,Getrennter Rad- und Gehweg (Zweirichtungsradweg),686182.8405,5335669.766,686190.3114,5335670.4
10342,Landsberger Straße,41.14416591,Übergang,686230.5486,5335256.372,686230.2464,5335215.503
10343,Menzinger Straße,183.5150424,Getrennter Rad- und Gehweg,686078.7989,5337623.428,685896.8989,5337643.479
10344,Wotanstraße,7.285773667,Übergang,686522.084,5336336.676,686527.3628,5336341.608
10345,Bergsonstraße,279.687922,Getrennter Rad- und Gehweg,682116.6458,5337487.982,681843.6672,5337427.135
10346,Bergsonstraße,5.634789527,Übergang,681843.6672,5337427.135,681838.1354,5337426.063
10347,Schleißheimer Straße,18.36329239,Getrennter Rad- und Gehweg,690779.1742,5339775.262,690776.6516,5339793.451
10348,Moosacher Straße,4.252618928,Getrennter Rad- und Gehweg,690432.1481,5340226.001,690428.0074,5340226.669
10349,Milbertshofener Straße,239.2512054,Getrennter Rad- und Gehweg,690769.6769,5340006.519,691008.2179,5340006.347
10350,Moosacher Straße,8.746940767,Übergang,690448.4743,5340228.131,690439.8049,5340226.969
10351,Milbertshofener Straße,6.121599165,Übergang,691469.6579,5340004.819,691475.7676,5340004.437
10352,Ständlerstraße,4.267179455,Getrennter Rad- und Gehweg,693947.5619,5331192.256,693950.3614,5331195.477
10353,Von-Kahr-Straße,125.0053263,Getrennter Rad- und Gehweg,684876.0312,5339234.123,684760.3986,5339186.633
10354,Von-Kahr-Straße,62.61689336,Getrennter Rad- und Gehweg,684473.1126,5339090.978,684411.3661,5339080.617
10355,Manzostraße,50.96517203,Getrennter Rad- und Gehweg,685218.7904,5339759.134,685167.858,5339757.306
10356,Ungererstraße,304.0146099,Getrennter Rad- und Gehweg,694045.596,5340282.787,694213.2955,5340536.207
10357,Ungererstraße,5.453046999,Getrennter Rad- und Gehweg,694041.3592,5340279.407,694045.596,5340282.787
10358,Schleißheimer Straße,12.39793158,Übergang,690705.6503,5340274.256,690703.6506,5340286.491
10359,Milbertshofener Straße,5.524901094,Getrennter Rad- und Gehweg,691221.6218,5340013.904,691226.6775,5340016.132
10360,Von-Kahr-Straße,88.9676205,Getrennter Rad- und Gehweg,684644.0237,5339120.114,684561.1826,5339088.513
10361,Ungererstraße,132.0952546,Getrennter Rad- und Gehweg,694081.5954,5340282.309,694147.8545,5340394.882
10362,Ifflandstraße,11.527491,Getrennter Rad- und Gehweg,693611.662,5336973.453,693616.756,5336983.794
10363,Schleißheimer Straße,12.63149736,Übergang,690733.4913,5340290.239,690731.7457,5340302.749
10364,Moosacher Straße,9.302694432,Übergang,690015.5728,5340187.126,690006.4623,5340185.244
10365,Triebstraße,7.490955444,Getrennter Rad- und Gehweg,688314.8211,5340174.521,688321.4907,5340177.665
10366,Von-Kahr-Straße,3.211008218,Übergang,684558.3004,5339087.71,684555.2351,5339086.754
10367,Neubiberger Straße,7.067699021,Übergang,696100.3674,5330090.002,696104.5462,5330084.302
10368,Oberföhringer Straße,112.7302336,Getrennter Rad- und Gehweg,694660.6946,5337452.701,694715.2757,5337551.305
10369,Einhornallee,198.4028169,Radweg (Zweirichtungsradweg),686558.3292,5331018.497,686537.1866,5330828.473
10370,Amalienburgstraße,143.8918915,Getrennter Rad- und Gehweg,685268.7118,5337667.469,685148.6568,5337589.594
10371,Fürstenrieder Straße,153.8442343,Getrennter Rad- und Gehweg,686224.6363,5334762.353,686226.6693,5334608.526
10372,Wotanstraße,134.7819367,Radweg,686202.6668,5335785.942,686204.7066,5335919.995
10373,Menzinger Straße,4.293762593,Übergang,686751.4535,5337304.577,686748.9221,5337308.045
10374,Landsberger Straße,9.970622711,Übergang,686176.509,5335211.229,686186.4421,5335210.365
10375,Gotthardstraße,12.02739281,Übergang,686215.0653,5334395.421,686203.0566,5334394.751
10376,Wotanstraße,227.2153539,Getrennter Rad- und Gehweg (Zweirichtungsradweg),686195.5871,5335323.861,686189.6182,5335550.473
10377,Bergsonstraße,5.702511497,Übergang,680197.8878,5337079.83,680192.4535,5337078.102
10378,Menzinger Straße,103.8820755,Getrennter Rad- und Gehweg,686773.3086,5337011.313,686767.8469,5337115.05
10379,Landsberger Straße,8.705669778,Übergang,684406.1123,5335399.977,684397.4083,5335400.148
10380,Bergsonstraße,5.459857736,Übergang,679986.1132,5336996.877,679981.1021,5336994.709
10381,Von-Kahr-Straße,8.484408539,Übergang,683568.6794,5338964.817,683560.2059,5338964.387
10382,Friedenheimer Straße,29.33028201,Radweg,686773.6851,5334765.682,686760.9426,5334739.269
10383,Friedenheimer Straße,58.39235654,Getrennter Rad- und Gehweg,686684.5685,5334190.091,686679.2356,5334131.943
10384,Naupliastraße,27.95675423,Getrennter Rad- und Gehweg,691321.6331,5329818.762,691298.5074,5329803.053
10385,Isarring,145.9721514,Getrennter Rad- und Gehweg,693832.229,5336973.464,693958.615,5336902.469
10386,Fasangartenstraße,64.85618521,Getrennter Rad- und Gehweg,694278.4097,5329478.89,694218.0972,5329455.042
10387,Balanstraße,81.72663751,Getrennter Rad- und Gehweg,693781.1805,5331972.015,693797.9626,5331892.032
10388,Balanstraße,48.01056325,Getrennter Rad- und Gehweg,694126.2251,5330453.921,694151.4259,5330413.069
10389,Isarring,210.5437762,Getrennter Rad- und Gehweg,694026.3724,5336864.051,694208.2173,5336758.101
10390,Ostpreußenstraße,4.02334792,Übergang,696390.8751,5336143.908,696390.9096,5336147.931
10391,Zschokkestraße,37.60334845,Getrennter Rad- und Gehweg,687687.0981,5334335.252,687678.951,5334371.38
10392,Westendstraße,17.89200219,Getrennter Rad- und Gehweg,687667.0123,5334315.524,687657.5871,5334300.316
10393,Tübinger Straße,8.259032899,Übergang,688129.9936,5333841.265,688135.0965,5333834.771
10394,Landaubogen,2.9970264,Übergang,688163.43,5333858.607,688165.984,5333857.039
10395,Landaubogen,5.434199548,Getrennter Rad- und Gehweg,688165.984,5333857.039,688169.9488,5333853.322
10396,Neuherbergstraße,219.4419181,Getrennter Rad- und Gehweg,692123.4206,5342921.275,691904.9819,5342942.21
10397,Lieberweg,61.59848334,Getrennter Rad- und Gehweg,691168.7484,5342225.105,691164.4545,5342286.407
10398,Höglwörther Straße,13.03386375,Übergang,687780.046,5331251.145,687769.5417,5331243.429
10399,Lieberweg,7.673885984,Übergang,691164.4545,5342286.407,691159.976,5342292.588
10400,Max-Diamand-Straße,59.55277669,Getrennter Rad- und Gehweg,691159.3236,5340805.18,691101.4267,5340797.742
10401,Schleißheimer Straße,6.741442878,Übergang,690723.7163,5340367.7,690722.7436,5340374.371
10402,Schleißheimer Straße,6.981099573,Übergang,690717.7215,5338223.294,690716.5864,5338230.182
10403,Allacher Straße,4.216958152,Übergang,685062.0099,5339231.835,685057.7973,5339231.643
10404,Von-Kahr-Straße,15.51641348,Übergang,684893.5256,5339243.741,684880.0554,5339236.117
10405,Wintrichring,33.51668684,Übergang,686431.653,5337611.89,686417.7243,5337581.404
10406,Ungererstraße,9.032381507,Getrennter Rad- und Gehweg,694017.3486,5340251.345,694020.4267,5340243.043
10407,Allacher Straße,11.78821769,Übergang,685610.626,5338977.677,685600.4576,5338983.641
10408,Theodor-Dombart-Straße,3.753180694,Getrennter Rad- und Gehweg,692949.5842,5338912.085,692949.9366,5338908.349
10409,Schenkendorfstraße,5.954157917,Getrennter Rad- und Gehweg,692928.0703,5338927.02,692932.748,5338923.336
10410,Allacher Straße,9.825995145,Übergang,685448.6478,5339086.564,685440.8028,5339092.481
10411,Von-Kahr-Straße,7.075828435,Übergang,684657.4509,5339126.108,684650.9923,5339123.218
10412,Ackermannstraße,3.817817054,Übergang,690540.9196,5338186.32,690537.8987,5338188.655
